Journal	Score1	Score2	IF2	IF5	NoOfScores	Citations
Science (New York)	8	6	31.377	31.777	2	114
Journal of Neurophysiology	6	 	3.114	3.686	1	23
Nature Medicine	6	 	25.43	27.887	1	106
Science (New York)	6	8	31.377	31.777	2	175
Plant Physiology	8	 	6.451	7.016	1	89
Clinical Infectious Diseases	8	 	8.186	7.898	1	173
Nature Cell Biology	6	 	19.407	19.578	1	104
Developmental Biology	6	 	4.094	4.42	1	65
Cell	8	6	32.406	34.931	2	426
Proceedings of the National Academy of Sciences of the United States of America	10	10	9.771	10.591	2	166
Neuron	8	10	14.027	14.927	2	135
Cell	8	6	32.406	34.931	2	178
Proceedings of the National Academy of Sciences of the United States of America	8	 	9.771	10.591	1	92
Proceedings of the National Academy of Sciences of the United States of America	8	 	9.771	10.591	1	130
Proceedings of the National Academy of Sciences of the United States of America	6	 	9.771	10.591	1	94
Current Biology	6	6	10.026	11.436	2	20
International Journal of Epidemiology	6	 	5.759	6.404	1	67
Nature Cell Biology	6	6	19.407	19.578	2	31
Cell Cycle	6	 	4.999	4.499	1	10
Journal of Bacteriology	6	 	3.726	3.818	1	62
Molecular Cell	8	8	14.194	14.447	2	92
The Journal of Experimental Medicine	8	 	14.776	15.7	1	33
Journal of the American Chemical Society	6	6	9.023	8.981	2	43
Nature Methods	6	6	20.721	19.286	2	172
Human Molecular Genetics	6	6	8.058	8.145	2	48
Journal of Evolutionary Biology	6	6	3.656	4.08	2	16
Angewandte Chemie	6	6	12.73	12.05	2	11
Journal of Theoretical Biology	10	 	2.371	2.491	1	33
Journal of the American Chemical Society	6	 	9.023	8.981	1	78
Immunity	8	6	24.221	22.133	2	126
Nature	10	 	36.104	35.248	1	324
Genes &amp; Development	6	8	12.889	13.892	2	49
The Journal of Cell Biology	6	 	9.921	10.123	1	29
Cell	8	 	32.406	34.931	1	401
Cell	8	6	32.406	34.931	2	169
Cell	10	 	32.406	34.931	1	131
Journal of Nematology	6	 	0.506	1.12	1	9
Journal of Immunology	6	 	5.745	5.909	1	33
Immunity	8	8	24.221	22.133	2	168
