Journal	Score1	Score2	IF2	IF5	NoOfScores	Citations
The Journal of Infectious Diseases	6	 	6.288	6.103	1	94
Fertility and Sterility	6	 	3.958	4.203	1	107
The Journal of Biological Chemistry	6	 	5.328	5.498	1	18
Molecular Biology and Evolution	6	 	5.51	8.907	1	10
Journal of Virology	6	 	5.189	5.257	1	17
Journal of Molecular Medicine	6	 	5.192	5.184	1	21
The Journal of Biological Chemistry	6	 	5.328	5.498	1	29
The Journal of Neuroscience	8	 	7.271	8.068	1	206
Acta Neuropathologica	6	 	7.695	5.963	1	25
Journal of phycology	8	 	2.239	2.865	1	106
Development	6	6	6.898	7.476	2	58
Current Biology	8	6	10.026	11.436	2	254
The American Journal of Cardiology	6	 	3.681	3.767	1	24
Angewandte Chemie	6	 	12.73	12.05	1	343
Journal of Immunology	6	 	5.745	5.909	1	34
The Journal of Biological Chemistry	6	 	5.328	5.498	1	31
Infection and Immunity	6	 	4.098	4.091	1	10
Genes &amp; Development	8	 	12.889	13.892	1	66
The EMBO Journal	6	 	10.124	9.369	1	71
Experimental Cell Research	6	 	3.609	3.787	1	8
Science (New York)	6	10	31.377	31.777	2	135
The American Naturalist	6	 	4.736	5.385	1	51
Journal of Virology	6	 	5.189	5.257	1	45
Journal of the American Chemical Society	8	 	9.023	8.981	1	18
"Protein Engineering, Design &amp; Selection"	10	 	3.023	2.843	1	55
Trends in Genetics	8	 	11.364	9.306	1	31
Applied and Environmental Microbiology	6	 	3.778	4.529	1	94
Nature Immunology	6	 	25.668	25.934	1	120
American Journal of Physiology. Gastrointestinal and Liver Physiology	6	 	3.522	3.609	1	37
The Journal of Neuroscience	6	 	7.271	8.068	1	49
Structure	6	 	6.337	5.859	1	62
Cell	6	8	32.406	34.931	2	93
Current Biology	6	 	10.026	11.436	1	46
The FEBS Journal	6	 	3.129	3.2	1	46
Cell	6	 	32.406	34.931	1	232
Cell	6	 	32.406	34.931	1	29
Proceedings of the National Academy of Sciences of the United States of America	8	 	9.771	10.591	1	59
Proceedings of the National Academy of Sciences of the United States of America	6	 	9.771	10.591	1	126
Current Biology	8	6	10.026	11.436	2	64
Chromosome Research	8	 	3.13	3.22	1	13
Cell	8	 	32.406	34.931	1	174
Nature	6	6	36.104	35.248	2	32
Journal of the American Chemical Society	6	 	9.023	8.981	1	35
Journal of Virology	8	 	5.189	5.257	1	159
PLoS Biology	6	 	12.472	14.376	1	26
Journal of the American Chemical Society	6	6	9.023	8.981	2	36
Blood	8	 	10.558	10.075	1	35
Journal of the American Chemical Society	8	 	9.023	8.981	1	46
The Journal of Experimental Medicine	8	 	14.776	15.7	1	63
Nature	8	8	36.104	35.248	2	143
Nature Immunology	10	6	25.668	25.934	2	96
Molecular Biology and Evolution	6	 	5.51	8.907	1	26
Developmental Cell	6	 	13.946	14.24	1	96
Experimental Brain Research	6	 	2.296	2.4	1	145
The Journal of Experimental Medicine	8	 	14.776	15.7	1	29
The Journal of Cell Biology	6	6	9.921	10.123	2	12
Science (New York)	10	6	31.377	31.777	2	67
Journal of Bacteriology	6	 	3.726	3.818	1	67
Current Biology	6	6	10.026	11.436	2	43
Nature	6	10	36.104	35.248	2	77
Neuron	8	 	14.027	14.927	1	93
Journal of Medicinal Chemistry	6	8	5.207	5.18	2	57
Nature	6	8	36.104	35.248	2	189
Cell	6	6	32.406	34.931	2	209
Immunity	8	 	24.221	22.133	1	77
Developmental Cell	6	 	13.946	14.24	1	31
Nature Immunology	6	6	25.668	25.934	2	156
Development	8	 	6.898	7.476	1	48
PLoS Biology	6	 	12.472	14.376	1	58
Molecular and Cellular Biology	6	 	6.188	6.381	1	82
The Journal of Cell Biology	6	8	9.921	10.123	2	155
Research in Microbiology	6	 	2.405	2.651	1	17
Cancer Research	6	 	8.234	8.438	1	57
Development	6	 	6.898	7.476	1	47
Genetics	6	 	4.087	4.311	1	51
Ecology	6	 	5.073	6.218	1	71
Journal of the American Chemical Society	8	 	9.023	8.981	1	98
Neuron	8	 	14.027	14.927	1	47
The Plant Cell	6	6	9.396	10.648	2	38
Trends in Plant Science	6	 	10.095	10.736	1	51
Genomics	6	 	3.327	3.214	1	41
The Journal of Biological Chemistry	6	 	5.328	5.498	1	26
Nature	6	 	36.104	35.248	1	583
The Journal of Experimental Medicine	6	 	14.776	15.7	1	71
Blood	6	 	10.558	10.075	1	136
The Journal of Biological Chemistry	6	 	5.328	5.498	1	26
Research in Microbiology	6	 	2.405	2.651	1	25
The Journal of Biological Chemistry	6	 	5.328	5.498	1	62
Environmental Microbiology	6	 	5.537	5.638	1	73
Cell	8	 	32.406	34.931	1	171
Science (New York)	6	 	31.377	31.777	1	113
Journal of the American Chemical Society	6	6	9.023	8.981	2	43
Biological conservation	6	 	3.498	4.042	1	30
The Journal of Clinical Investigation	6	 	14.152	16.641	1	81
Eukaryotic Cell	6	6	3.395	3.637	2	69
The Journal of Clinical Investigation	6	 	14.152	16.641	1	35
Stem Cells	6	 	7.871	8.632	1	88
The Journal of Cell Biology	6	6	9.921	10.123	2	108
Immunity	8	 	24.221	22.133	1	46
The Journal of Ecology	6	 	5.26	5.685	1	37
Bioinformatics	6	 	4.877	6.326	1	16
Cell	6	 	32.406	34.931	1	58
Science (New York)	8	 	31.377	31.777	1	232
Nature	8	 	36.104	35.248	1	64
Environmental Microbiology	6	 	5.537	5.638	1	51
Brain: A Journal of Neurology	6	 	9.232	10.143	1	37
The Journal of Clinical Investigation	6	 	14.152	16.641	1	189
Genome Biology	6	8	6.885	7.354	2	267
Structure	8	 	6.337	5.859	1	30
European Journal of Immunology	6	 	4.942	4.705	1	49
Journal of Theoretical Biology	6	 	2.371	2.491	1	91
Current Biology	6	 	10.026	11.436	1	70
Nature	10	6	36.104	35.248	2	110
Journal of Cell Science	6	 	6.29	6.731	1	31
Chromosoma	6	 	4.196	4.137	1	10
Plant Physiology	6	 	6.451	7.016	1	164
The Plant Cell	8	6	9.396	10.648	2	111
Conservation Biology	6	 	4.894	5.963	1	231
Molecular and Cellular Biology	8	 	6.188	6.381	1	77
Current Biology	8	 	10.026	11.436	1	57
Science (New York)	8	8	31.377	31.777	2	313
Blood	6	 	10.558	10.075	1	140
Nature Genetics	6	6	36.377	32.701	2	1471
Proceedings of the National Academy of Sciences of the United States of America	6	 	9.771	10.591	1	92
Cell	6	6	32.406	34.931	2	229
Nature Immunology	8	8	25.668	25.934	2	342
Angewandte Chemie	6	 	12.73	12.05	1	33
American Journal of Botany	6	 	3.052	3.452	1	57
Nature Structural &amp; Molecular Biology	8	 	13.685	12.481	1	48
Nature	10	6	36.104	35.248	2	204
Nature Methods	6	 	20.721	19.286	1	214
The EMBO Journal	8	6	10.124	9.369	2	95
Molecular Biology of the Cell	10	8	5.861	5.949	2	41
The Journal of Biological Chemistry	6	 	5.328	5.498	1	25
Current Biology	6	 	10.026	11.436	1	70
The Journal of Cell Biology	6	 	9.921	10.123	1	38
Molecular Cell	6	 	14.194	14.447	1	120
American Journal of Physiology. Renal Physiology	8	 	3.792	3.835	1	19
American Journal of Human Genetics	6	 	11.68	12.265	1	170
Molecular and Cellular Biology	6	 	6.188	6.381	1	54
The New England Journal of Medicine	8	 	53.486	52.363	1	684
Nature	10	8	36.104	35.248	2	371
Nature	6	 	36.104	35.248	1	153
Genes &amp; Development	10	 	12.889	13.892	1	79
Genetics	6	 	4.087	4.311	1	7
Nature	8	 	36.104	35.248	1	123
Journal of Immunology	8	 	5.745	5.909	1	156
Chemical Senses	6	 	2.327	2.252	1	16
Journal of the American Chemical Society	6	 	9.023	8.981	1	51
Neuron	6	 	14.027	14.927	1	121
Cell	6	 	32.406	34.931	1	114
Immunity	8	6	24.221	22.133	2	657
Nature	8	8	36.104	35.248	2	182
The Journal of Biological Chemistry	6	 	5.328	5.498	1	28
The Journal of Experimental Medicine	6	6	14.776	15.7	2	531
Cell	8	8	32.406	34.931	2	136
Proceedings of the National Academy of Sciences of the United States of America	6	 	9.771	10.591	1	45
Nature Immunology	8	6	25.668	25.934	2	181
Journal of the American Chemical Society	6	6	9.023	8.981	2	6
Proceedings of the National Academy of Sciences of the United States of America	6	 	9.771	10.591	1	111
The Journal of Biological Chemistry	8	 	5.328	5.498	1	16
Science (New York)	8	8	31.377	31.777	2	105
Neuron	6	8	14.027	14.927	2	81
Ecology	6	6	5.073	6.218	2	94
Proceedings. Biological Sciences / the Royal Society	6	6	5.064	5.443	2	125
Angewandte Chemie	6	 	12.73	12.05	1	80
Proceedings of the National Academy of Sciences of the United States of America	6	 	9.771	10.591	1	147
Development	10	6	6.898	7.476	2	38
The Journal of Cell Biology	6	6	9.921	10.123	2	99
The Journal of Biological Chemistry	6	 	5.328	5.498	1	23
Proceedings of the National Academy of Sciences of the United States of America	8	 	9.771	10.591	1	59
Journal of Immunology	6	 	5.745	5.909	1	53
Developmental Cell	8	 	13.946	14.24	1	64
Cancer Cell	8	6	26.925	28.438	2	42
Cell	8	10	32.406	34.931	2	380
American Journal of Physiology. Renal Physiology	6	 	3.792	3.835	1	370
Science (New York)	8	8	31.377	31.777	2	292
International Journal for Parasitology	8	 	3.822	3.938	1	10
Journal of the American Chemical Society	6	 	9.023	8.981	1	13
Science (New York)	6	 	31.377	31.777	1	42
Journal of the American Chemical Society	6	6	9.023	8.981	2	69
Science (New York)	8	8	31.377	31.777	2	157
Applied and Environmental Microbiology	6	 	3.778	4.529	1	58
The American Journal of Pathology	6	 	5.224	5.971	1	52
Nature Neuroscience	8	 	14.191	16.19	1	87
The Journal of Neuroscience	6	 	7.271	8.068	1	103
Nature Cell Biology	8	 	19.407	19.578	1	329
PLoS Biology	6	 	12.472	14.376	1	64
Ecology Letters	6	 	15.253	14.261	1	82
The American Naturalist	8	 	4.736	5.385	1	39
Plant Physiology	6	 	6.451	7.016	1	39
Science (New York)	10	 	31.377	31.777	1	73
Journal of Cell Science	6	8	6.29	6.731	2	62
Molecular Cell	6	 	14.194	14.447	1	33
The Journal of Neuroscience	8	 	7.271	8.068	1	66
The Journal of Neuroscience	6	 	7.271	8.068	1	102
Evolution; International Journal of Organic Evolution	6	 	5.659	6.041	1	32
Proceedings of the National Academy of Sciences of the United States of America	10	6	9.771	10.591	2	55
The Journal of Biological Chemistry	6	 	5.328	5.498	1	38
Nature	8	8	36.104	35.248	2	46
The Journal of General Physiology	8	 	4.283	4.712	1	35
Journal of Medicinal Chemistry	6	 	5.207	5.18	1	75
The Plant Cell	6	 	9.396	10.648	1	201
Biological conservation	8	 	3.498	4.042	1	44
Proceedings of the National Academy of Sciences of the United States of America	6	 	9.771	10.591	1	24
The Journal of Biological Chemistry	8	 	5.328	5.498	1	164
The Journal of Biological Chemistry	8	6	5.328	5.498	2	35
Science (New York)	10	6	31.377	31.777	2	696
Proceedings of the National Academy of Sciences of the United States of America	6	 	9.771	10.591	1	43
Science (New York)	6	 	31.377	31.777	1	282
Nature	10	10	36.104	35.248	2	2431
Proceedings of the National Academy of Sciences of the United States of America	8	 	9.771	10.591	1	93
Nature Chemical Biology	10	6	15.808	16.321	2	119
Nucleic Acids Research	6	 	7.836	7.314	1	31
Nature Genetics	8	6	36.377	32.701	2	830
Science (New York)	10	6	31.377	31.777	2	238
Science (New York)	6	 	31.377	31.777	1	196
Immunity	6	 	24.221	22.133	1	43
Nature	8	6	36.104	35.248	2	882
Nature	8	6	36.104	35.248	2	111
Investigative Ophthalmology &amp; Visual Science	6	 	3.466	3.933	1	33
Journal of the American Chemical Society	6	 	9.023	8.981	1	23
Angewandte Chemie	6	 	12.73	12.05	1	36
Nature	6	8	36.104	35.248	2	35
The Plant Journal: for Cell and Molecular Biology	8	 	6.948	7.325	1	47
The Plant Journal: for Cell and Molecular Biology	6	 	6.948	7.325	1	45
Development	6	6	6.898	7.476	2	83
Palaeontology	6	 	1.867	1.981	1	14
Evolution; International Journal of Organic Evolution	8	 	5.659	6.041	1	41
The Journal of Neuroscience	10	 	7.271	8.068	1	53
Science (New York)	8	8	31.377	31.777	2	83
American Journal of Medical Genetics. Part A	6	 	2.505	2.539	1	25
Infection and Immunity	6	 	4.098	4.091	1	41
Infection and Immunity	6	 	4.098	4.091	1	35
The Plant Journal: for Cell and Molecular Biology	6	 	6.948	7.325	1	21
Journal of Virology	6	 	5.189	5.257	1	39
"Genes, Brain, and Behavior"	6	 	4.061	4.213	1	31
The Journal of Neuroscience	6	 	7.271	8.068	1	82
Nature	8	 	36.104	35.248	1	174
Neuron	6	 	14.027	14.927	1	84
Science (New York)	8	10	31.377	31.777	2	397
Nature	8	 	36.104	35.248	1	118
The Journal of Neuroscience	6	 	7.271	8.068	1	50
Journal of Cell Science	8	 	6.29	6.731	1	130
Proceedings of the National Academy of Sciences of the United States of America	8	10	9.771	10.591	2	95
Structure	6	 	6.337	5.859	1	33
American Journal of Physiology. Renal Physiology	6	 	3.792	3.835	1	33
Proceedings of the National Academy of Sciences of the United States of America	6	 	9.771	10.591	1	18
Science (New York)	6	 	31.377	31.777	1	532
Molecular and Cellular Biology	6	 	6.188	6.381	1	326
Proceedings of the National Academy of Sciences of the United States of America	6	 	9.771	10.591	1	26
American Journal of Botany	8	 	3.052	3.452	1	25
The Journal of Biological Chemistry	8	 	5.328	5.498	1	77
Science (New York)	8	6	31.377	31.777	2	42
Biophysical Journal	6	 	4.218	4.692	1	32
Microbes and Infection	6	 	2.726	2.862	1	16
Developmental Cell	6	 	13.946	14.24	1	11
The Journal of Biological Chemistry	6	 	5.328	5.498	1	20
Molecular Biology of the Cell	6	 	5.861	5.949	1	60
Developmental Cell	6	6	13.946	14.24	2	47
Nature	6	 	36.104	35.248	1	95
The Journal of Biological Chemistry	6	 	5.328	5.498	1	72
Nature Immunology	6	 	25.668	25.934	1	321
Evolution; International Journal of Organic Evolution	8	 	5.659	6.041	1	13
Molecular Biology of the Cell	6	 	5.861	5.949	1	19
Science (New York)	8	8	31.377	31.777	2	1813
Nature	8	6	36.104	35.248	2	246
Nature	10	 	36.104	35.248	1	54
RNA (New York)	6	 	6.051	5.486	1	118
Proceedings of the National Academy of Sciences of the United States of America	6	 	9.771	10.591	1	60
Nature	8	6	36.104	35.248	2	53
Progress in Biophysics and Molecular Biology	6	 	3.964	5.253	1	26
Angewandte Chemie	6	 	12.73	12.05	1	28
Nature	8	8	36.104	35.248	2	112
Proceedings of the National Academy of Sciences of the United States of America	10	6	9.771	10.591	2	118
Nature Cell Biology	6	 	19.407	19.578	1	39
Nature	10	 	36.104	35.248	1	178
Cell	8	 	32.406	34.931	1	251
Molecular Biology of the Cell	6	 	5.861	5.949	1	19
Cell	6	 	32.406	34.931	1	222
Proceedings of the National Academy of Sciences of the United States of America	6	 	9.771	10.591	1	79
Development	8	 	6.898	7.476	1	12
The Journal of Cell Biology	8	6	9.921	10.123	2	49
Parasitology	6	 	2.522	2.53	1	17
Nature	8	6	36.104	35.248	2	133
Proceedings of the National Academy of Sciences of the United States of America	6	 	9.771	10.591	1	77
Infection and Immunity	8	 	4.098	4.091	1	66
Journal of the American Chemical Society	6	 	9.023	8.981	1	18
Molecular and Biochemical Parasitology	6	 	2.875	2.963	1	25
Science (New York)	6	6	31.377	31.777	2	190
Nature Medicine	8	 	25.43	27.887	1	309
Nature Neuroscience	6	 	14.191	16.19	1	64
The Journal of Biological Chemistry	6	 	5.328	5.498	1	23
Nature	6	 	36.104	35.248	1	40
Nature Immunology	8	 	25.668	25.934	1	35
Biochemical and Biophysical Research Communications	8	 	2.595	2.72	1	24
Developmental Cell	8	8	13.946	14.24	2	105
Nature	8	 	36.104	35.248	1	22
Proceedings of the National Academy of Sciences of the United States of America	6	 	9.771	10.591	1	140
Protein Science	6	 	2.741	2.94	1	26
Nature	10	8	36.104	35.248	2	255
Plant Physiology	6	 	6.451	7.016	1	40
Proceedings of the National Academy of Sciences of the United States of America	6	 	9.771	10.591	1	54
Nature	8	 	36.104	35.248	1	443
The Journal of Biological Chemistry	6	6	5.328	5.498	2	30
The American Naturalist	6	 	4.736	5.385	1	31
Proceedings. Biological Sciences / the Royal Society	6	6	5.064	5.443	2	29
The Journal of Ecology	6	 	5.26	5.685	1	75
Nature	10	6	36.104	35.248	2	112
The American Naturalist	6	 	4.736	5.385	1	42
Applied and Environmental Microbiology	8	 	3.778	4.529	1	10
Nature	8	6	36.104	35.248	2	1075
The EMBO Journal	6	 	10.124	9.369	1	45
The Journal of Neuroscience	6	 	7.271	8.068	1	55
Journal of Bacteriology	6	 	3.726	3.818	1	23
Proceedings. Biological Sciences / the Royal Society	6	 	5.064	5.443	1	181
Nature Medicine	8	 	25.43	27.887	1	167
The Journal of Infectious Diseases	6	 	6.288	6.103	1	159
Science (New York)	10	10	31.377	31.777	2	627
Nature	6	 	36.104	35.248	1	315
Journal of Immunology	6	 	5.745	5.909	1	69
Journal of Evolutionary Biology	6	 	3.656	4.08	1	7
The American Journal of Cardiology	6	 	3.681	3.767	1	125
Science (New York)	8	6	31.377	31.777	2	599
Proceedings of the National Academy of Sciences of the United States of America	6	 	9.771	10.591	1	78
Developmental Biology	6	 	4.094	4.42	1	14
The European Journal of Neuroscience	6	 	3.658	3.812	1	11
Developmental Cell	8	8	13.946	14.24	2	79
Cell	6	8	32.406	34.931	2	186
Proceedings of the National Academy of Sciences of the United States of America	8	 	9.771	10.591	1	40
Nature Medicine	8	 	25.43	27.887	1	134
Infection and Immunity	8	 	4.098	4.091	1	141
Proceedings of the National Academy of Sciences of the United States of America	6	6	9.771	10.591	2	20
Ecology Letters	6	6	15.253	14.261	2	29
Genes &amp; Development	6	 	12.889	13.892	1	63
Science (New York)	8	 	31.377	31.777	1	103
Cell	8	 	32.406	34.931	1	172
The American Naturalist	6	 	4.736	5.385	1	17
Proceedings of the National Academy of Sciences of the United States of America	6	 	9.771	10.591	1	55
Developmental Biology	6	8	4.094	4.42	2	36
Molecular Cell	6	 	14.194	14.447	1	169
PLoS Biology	6	 	12.472	14.376	1	25
Systematic Biology	6	 	9.532	11.159	1	71
Proceedings of the National Academy of Sciences of the United States of America	8	8	9.771	10.591	2	56
Biophysical Journal	6	 	4.218	4.692	1	68
Journal of Immunology	6	 	5.745	5.909	1	44
Biology Letters	6	 	3.651	3.821	1	33
Developmental Cell	6	 	13.946	14.24	1	33
The Journal of Cell Biology	6	 	9.921	10.123	1	113
Science (New York)	6	10	31.377	31.777	2	121
Angewandte Chemie	6	 	12.73	12.05	1	264
Nature Neuroscience	6	 	14.191	16.19	1	53
Infection and Immunity	6	 	4.098	4.091	1	46
Journal of Virology	6	 	5.189	5.257	1	54
Molecular Cell	8	6	14.194	14.447	2	199
Journal of Immunology	6	6	5.745	5.909	2	58
The Journal of Biological Chemistry	6	 	5.328	5.498	1	55
Nature Genetics	6	 	36.377	32.701	1	81
American Journal of Physiology. Gastrointestinal and Liver Physiology	6	 	3.522	3.609	1	65
Proceedings of the National Academy of Sciences of the United States of America	6	 	9.771	10.591	1	41
Current Biology	6	 	10.026	11.436	1	59
Neuroscience	6	 	3.215	3.48	1	25
Journal of the American Chemical Society	6	 	9.023	8.981	1	54
The Journal of Comparative Neurology	6	 	3.774	4.043	1	29
The Journal of Neuroscience	6	 	7.271	8.068	1	71
Plant Molecular Biology	6	 	4.149	4.253	1	38
Nucleic Acids Research	8	 	7.836	7.314	1	32
Proceedings of the National Academy of Sciences of the United States of America	6	 	9.771	10.591	1	49
Nature	8	8	36.104	35.248	2	151
Genome Research	6	 	13.588	11.971	1	134
Immunity	10	8	24.221	22.133	2	180
The Plant Journal: for Cell and Molecular Biology	6	 	6.948	7.325	1	43
The Journal of Cell Biology	8	 	9.921	10.123	1	124
Development	6	 	6.898	7.476	1	58
Bioinformatics	6	 	4.877	6.326	1	393
Journal of the American Chemical Society	6	 	9.023	8.981	1	12
Nature	8	8	36.104	35.248	2	39
Nature Chemical Biology	6	8	15.808	16.321	2	31
Proceedings of the National Academy of Sciences of the United States of America	6	6	9.771	10.591	2	121
Neuron	6	 	14.027	14.927	1	25
BMC Evolutionary Biology	8	 	3.702	4.619	1	92
Neuron	6	8	14.027	14.927	2	100
Genes &amp; Development	6	 	12.889	13.892	1	14
Nature	6	 	36.104	35.248	1	207
Nature Structural &amp; Molecular Biology	6	 	13.685	12.481	1	27
Developmental Cell	6	8	13.946	14.24	2	53
Nature Neuroscience	8	 	14.191	16.19	1	68
The Journal of Biological Chemistry	8	8	5.328	5.498	2	82
Proceedings of the National Academy of Sciences of the United States of America	6	 	9.771	10.591	1	14
Proceedings of the National Academy of Sciences of the United States of America	6	 	9.771	10.591	1	89
Science (New York)	10	 	31.377	31.777	1	591
Brain Research. Cognitive Brain Research	8	 	2.623	2.665	1	47
Development	8	 	6.898	7.476	1	26
The American Naturalist	6	 	4.736	5.385	1	28
Current Biology	8	 	10.026	11.436	1	63
Current Biology	8	 	10.026	11.436	1	98
Nature Medicine	8	8	25.43	27.887	2	188
Cancer Cell	8	 	26.925	28.438	1	141
Gene Therapy	6	 	4.538	4.294	1	20
Genes &amp; Development	8	6	12.889	13.892	2	86
Nature	8	8	36.104	35.248	2	683
Statistical Applications in Genetics and Molecular Biology	10	10	1.842	2.182	2	51
Nature Cell Biology	8	 	19.407	19.578	1	130
Cancer Research	6	 	8.234	8.438	1	54
Current Biology	6	 	10.026	11.436	1	79
Proceedings of the National Academy of Sciences of the United States of America	8	 	9.771	10.591	1	14
The Journal of Biological Chemistry	6	 	5.328	5.498	1	75
Genomics	6	 	3.327	3.214	1	102
EMBO Reports	6	 	7.822	7.488	1	22
Science (New York)	6	6	31.377	31.777	2	87
Molecular Cell	6	 	14.194	14.447	1	40
Molecular Cell	6	 	14.194	14.447	1	45
Nature	6	6	36.104	35.248	2	433
The EMBO Journal	6	 	10.124	9.369	1	66
Molecular Microbiology	8	 	4.819	5.207	1	48
Nature Cell Biology	6	6	19.407	19.578	2	187
Science (New York)	8	 	31.377	31.777	1	565
The Journal of Cell Biology	8	6	9.921	10.123	2	118
Proceedings of the National Academy of Sciences of the United States of America	6	 	9.771	10.591	1	47
Molecular and Cellular Biology	6	 	6.188	6.381	1	56
Nature	8	 	36.104	35.248	1	351
Nature	10	 	36.104	35.248	1	36
Nature Cell Biology	6	 	19.407	19.578	1	202
The Plant Cell	6	6	9.396	10.648	2	265
PLoS Biology	8	 	12.472	14.376	1	144
Journal of Virology	6	 	5.189	5.257	1	18
Immunity	6	 	24.221	22.133	1	95
Conservation Biology	6	 	4.894	5.963	1	55
The Journal of Experimental Medicine	6	 	14.776	15.7	1	74
Nature Genetics	8	 	36.377	32.701	1	106
The Journal of Infectious Diseases	6	6	6.288	6.103	2	58
Science (New York)	8	 	31.377	31.777	1	172
Transactions of the Royal Society of Tropical Medicine and Hygiene	6	 	2.832	2.615	1	23
Plant Physiology	6	 	6.451	7.016	1	18
Cellular Microbiology	6	 	5.625	5.428	1	50
The Journal of Antimicrobial Chemotherapy	6	 	4.659	4.48	1	24
The EMBO Journal	6	 	10.124	9.369	1	60
Journal of Neurophysiology	6	 	3.114	3.686	1	15
PLoS Biology	8	 	12.472	14.376	1	98
Applied and Environmental Microbiology	8	 	3.778	4.529	1	63
Science (New York)	8	8	31.377	31.777	2	105
Journal of Immunology	6	 	5.745	5.909	1	88
Science (New York)	6	10	31.377	31.777	2	82
Nature	8	10	36.104	35.248	2	85
Journal of Virology	6	 	5.189	5.257	1	17
Infection and Immunity	6	 	4.098	4.091	1	9
Proceedings of the National Academy of Sciences of the United States of America	6	 	9.771	10.591	1	144
Nature	6	 	36.104	35.248	1	180
The Plant Journal: for Cell and Molecular Biology	8	 	6.948	7.325	1	71
Nucleic Acids Research	6	 	7.836	7.314	1	78
Applied and Environmental Microbiology	6	 	3.778	4.529	1	45
Global biogeochemical cycles	6	 	5.263	5.936	1	108
The Journal of Biological Chemistry	8	 	5.328	5.498	1	50
Biochemical and Biophysical Research Communications	6	 	2.595	2.72	1	1
Molecular and Cellular Biology	6	 	6.188	6.381	1	80
Neuron	8	6	14.027	14.927	2	58
Science (New York)	10	 	31.377	31.777	1	108
Nature	8	6	36.104	35.248	2	72
Development	6	 	6.898	7.476	1	35
Nature Medicine	8	 	25.43	27.887	1	87
The Journal of Cell Biology	6	 	9.921	10.123	1	28
Journal of Immunology	6	 	5.745	5.909	1	21
Molecular Cell	8	8	14.194	14.447	2	88
Nature Immunology	6	 	25.668	25.934	1	160
Nature Immunology	6	 	25.668	25.934	1	525
Biology of Reproduction	6	 	3.87	3.979	1	12
The Journal of Hospital Infection	8	 	3.078	3.186	1	45
Journal of Bacteriology	8	6	3.726	3.818	2	34
Molecular Biology of the Cell	6	 	5.861	5.949	1	47
Journal of the American Chemical Society	6	 	9.023	8.981	1	25
The Plant Cell	6	 	9.396	10.648	1	72
Gastroenterology	6	 	12.032	12.403	1	73
Endocrinology	8	 	4.993	5.265	1	30
The Journal of Experimental Medicine	10	 	14.776	15.7	1	129
American Journal of Physiology. Renal Physiology	8	 	3.792	3.835	1	42
Nature Neuroscience	8	 	14.191	16.19	1	71
Nature	6	 	36.104	35.248	1	48
Current Opinion in Genetics &amp; Development	8	 	9.381	9.258	1	72
Proceedings of the National Academy of Sciences of the United States of America	8	 	9.771	10.591	1	108
Nature	6	 	36.104	35.248	1	79
Journal of Molecular Biology	6	 	4.008	4.095	1	247
Protein Science	6	 	2.741	2.94	1	120
Nature Neuroscience	6	 	14.191	16.19	1	105
Journal of Neuroscience Research	6	 	2.958	3.151	1	20
Development	6	 	6.898	7.476	1	62
The Journal of Hospital Infection	6	 	3.078	3.186	1	1
Nature	10	10	36.104	35.248	2	251
Proceedings. Biological Sciences / the Royal Society	6	 	5.064	5.443	1	33
Journal of Immunology	6	 	5.745	5.909	1	27
The Journal of Experimental Medicine	8	 	14.776	15.7	1	96
Biology of Reproduction	6	 	3.87	3.979	1	29
Regulatory Peptides	8	 	2.473	2.387	1	9
"Arteriosclerosis, Thrombosis, and Vascular Biology"	8	 	7.215	7.544	1	89
Behavioral Neuroscience	8	 	2.481	2.676	1	46
Journal of the American Chemical Society	6	 	9.023	8.981	1	144
Journal of Immunology	6	 	5.745	5.909	1	163
Genes &amp; Development	8	 	12.889	13.892	1	40
Proceedings of the National Academy of Sciences of the United States of America	8	 	9.771	10.591	1	60
Nucleic Acids Research	10	8	7.836	7.314	2	37
Ecological monographs	6	6	5.938	8.827	2	24
The Journal of Neuroscience	6	 	7.271	8.068	1	55
Neuron	8	8	14.027	14.927	2	117
Modern Pathology	8	 	4.176	4.567	1	19
Nature	6	8	36.104	35.248	2	229
Genes &amp; Development	8	 	12.889	13.892	1	118
Developmental Cell	6	 	13.946	14.24	1	9
Genetics	6	 	4.087	4.311	1	79
Journal of Immunology	6	 	5.745	5.909	1	59
Nature Immunology	10	 	25.668	25.934	1	76
Nature	6	 	36.104	35.248	1	214
Science (New York)	6	 	31.377	31.777	1	45
Nature	10	8	36.104	35.248	2	168
Molecular and Cellular Biology	8	 	6.188	6.381	1	13
Nature	8	8	36.104	35.248	2	394
Science (New York)	10	6	31.377	31.777	2	628
Molecular and Cellular Biology	6	 	6.188	6.381	1	47
Nature Genetics	8	 	36.377	32.701	1	294
Science (New York)	6	8	31.377	31.777	2	370
The Journal of Biological Chemistry	6	 	5.328	5.498	1	36
The Journal of Clinical Endocrinology and Metabolism	10	 	6.495	6.438	1	45
Human Molecular Genetics	6	 	8.058	8.145	1	233
"Acta Crystallographica. Sect. D, Biological Crystallography"	6	 	6.326	4.098	1	6
The Journal of Biological Chemistry	6	 	5.328	5.498	1	53
The Journal of Biological Chemistry	6	 	5.328	5.498	1	10
Cell	6	 	32.406	34.931	1	27
The Journal of Biological Chemistry	8	 	5.328	5.498	1	116
The Journal of Infectious Diseases	6	 	6.288	6.103	1	18
Cell	10	10	32.406	34.931	2	142
The EMBO Journal	6	 	10.124	9.369	1	97
