Patron Type Definition,Total Checkouts,Total Renewals,Home Library Definition,Circulation Active Month,Circulation Active Year,Year Patron Registered
STAFF,1663,145,Ingleside,July,2015,2003
DIGITAL ACCESS CARD,0,0,Eureka Valley/Harvey Milk Memorial,None,None,2016
ADULT,64,38,Main Library,December,2014,2013
ADULT,0,0,Main Library,None,None,2016
ADULT,0,0,Main Library,None,None,2014
ADULT,14,7,Excelsior,March,2015,2013
SENIOR,458,100,West Portal,May,2015,2003
STAFF,1329,1126,Main Library,July,2016,2003
ADULT,133,200,Merced,July,2016,2013
ADULT,2121,1262,Mission Bay,July,2016,2003
ADULT,0,0,Main Library,None,None,2014
JUVENILE,8,0,Portola,May,2014,2009
JUVENILE,1,0,Glen Park,May,2015,2015
ADULT,8,1,Marina,February,2016,2015
SENIOR,41,1,North Beach,May,2015,2003
ADULT,6,0,Main Library,August,2013,2013
ADULT,183,236,Eureka Valley/Harvey Milk Memorial,July,2016,2009
ADULT,22,3,Main Library,April,2014,2003
ADULT,44,13,Western Addition,November,2014,2010
JUVENILE,5,0,Main Library,June,2016,2015
ADULT,39,6,West Portal,June,2012,2007
SENIOR,631,41,Chinatown,December,2014,2008
ADULT,23,57,Main Library,April,2016,2015
ADULT,0,0,Main Library,None,None,2014
ADULT,15,1,Ocean View,November,2013,2013
ADULT,386,116,Marina,May,2015,2003
JUVENILE,76,0,Anza,May,2015,2011
ADULT,24,2,Mission,September,2013,2010
ADULT,8,0,Eureka Valley/Harvey Milk Memorial,July,2015,2014
JUVENILE,159,3,Ingleside,June,2015,2010
SENIOR,3,0,Glen Park,May,2015,2013
ADULT,0,0,Main Library,None,None,2013
ADULT,1,0,Ortega,November,2014,2014
ADULT,1,3,Main Library,October,2012,2012
ADULT,72,40,Glen Park,November,2015,2010
ADULT,16,4,Main Library,January,2014,2013
SENIOR,1305,1202,Golden Gate Valley,July,2016,2006
YOUNG ADULT,0,0,Main Library,None,None,2015
ADULT,160,10,Main Library,February,2014,2007
WELCOME,2,0,Main Library,September,2013,2013
ADULT,189,201,Main Library,January,2016,2003
ADULT,257,510,Mission Bay,April,2013,2003
