Patron Type Definition,Total Checkouts,Total Renewals,Home Library Definition,Circulation Active Month,Circulation Active Year,Year Patron Registered
ADULT,1,2,Sunset,February,2014,2010
ADULT,1514,1360,Glen Park,July,2016,2004
ADULT,4,0,Main Library,July,2016,2016
SENIOR,178,0,Chinatown,July,2016,2013
SENIOR,7,0,Park,April,2015,2008
ADULT,541,332,Main Library,July,2016,2004
ADULT,38,48,West Portal,August,2015,2007
ADULT,0,0,North Beach,None,None,2013
JUVENILE,264,0,Merced,August,2014,2009
ADULT,9,6,Main Library,March,2013,2012
SENIOR,0,0,Glen Park,None,None,2009
YOUNG ADULT,529,181,Richmond,August,2015,2003
ADULT,4,0,Main Library,January,2015,2012
JUVENILE,415,20,West Portal,June,2016,2012
ADULT,1,0,Main Library,January,2015,2015
ADULT,6,0,Portola,October,2013,2013
JUVENILE,0,0,Bernal Heights,None,None,2016
ADULT,0,0,Main Library,None,None,2016
ADULT,0,0,Main Library,None,None,2015
ADULT,252,36,Eureka Valley/Harvey Milk Memorial,July,2016,2005
YOUNG ADULT,372,83,Chinatown,July,2015,2004
ADULT,39,59,Glen Park,April,2013,2012
ADULT,6,24,Presidio,May,2009,2008
ADULT,22,0,Ingleside,October,2015,2014
YOUNG ADULT,15,0,Mission,March,2016,2012
JUVENILE,0,0,Main Library,February,2015,2014
SENIOR,169,19,Main Library,February,2016,2003
ADULT,0,0,Main Library,None,None,2015
ADULT,76,7,Sunset,September,2013,2013
ADULT,17,22,Main Library,December,2015,2013
JUVENILE,21,0,Mission Bay,July,2016,2015
JUVENILE,0,0,Excelsior,None,None,2012
ADULT,4,3,Potrero,December,2012,2012
ADULT,145,5,North Beach,July,2016,2003
ADULT,60,41,Richmond,June,2016,2013
ADULT,8,6,Main Library,October,2015,2009
ADULT,3,2,Main Library,October,2013,2013
ADULT,0,0,Main Library,None,None,2016
YOUNG ADULT,36,0,Excelsior,September,2014,2011
SENIOR,3,0,Ortega,December,2014,2014
ADULT,5,0,Ingleside,February,2014,2010
ADULT,190,80,West Portal,July,2016,2003
ADULT,0,0,Presidio,None,None,2016
ADULT,266,540,Merced,April,2016,2003
ADULT,362,80,Parkside,February,2016,2003
JUVENILE,1,0,Excelsior,March,2016,2014
ADULT,0,0,Main Library,None,None,2015
ADULT,0,0,Main Library,None,None,2010
ADULT,1,0,Western Addition,April,2014,2010
ADULT,1,0,Richmond,December,2013,2013
ADULT,264,237,Main Library,November,2015,2008
ADULT,0,0,Golden Gate Valley,None,None,2014
YOUNG ADULT,0,0,Main Library,None,None,2015
SENIOR,84,13,Ortega,June,2015,2003
ADULT,4,12,Sunset,December,2014,2014
ADULT,0,0,Main Library,None,None,2012
ADULT,320,149,Main Library,December,2014,2009
JUVENILE,0,0,Unknown,None,None,2014
ADULT,3,0,North Beach,December,2013,2004
YOUNG ADULT,163,12,Presidio,January,2015,2006
YOUNG ADULT,1,0,Glen Park,June,2015,2015
JUVENILE,1109,12,Presidio,June,2016,2005
JUVENILE,6,0,Ortega,February,2015,2011
YOUNG ADULT,21,0,Main Library,July,2016,2016
ADULT,476,467,Richmond,April,2011,2004
SENIOR,20,0,Eureka Valley/Harvey Milk Memorial,September,2014,2014
YOUNG ADULT,0,0,Main Library,None,None,2012
JUVENILE,49,46,Main Library,March,2015,2012
ADULT,0,0,Main Library,None,None,2014
ADULT,26,7,Main Library,July,2014,2003
ADULT,6,0,Presidio,August,2014,2013
ADULT,6,0,Main Library,December,2015,2015
ADULT,37,0,Main Library,November,2013,2008
ADULT,148,33,Glen Park,July,2016,2003
JUVENILE,23,2,Ortega,July,2016,2009
ADULT,350,57,Excelsior,December,2015,2003
JUVENILE,2,1,West Portal,February,2016,2016
ADULT,387,63,Ocean View,June,2016,2003
ADULT,16,0,Main Library,May,2014,2003
ADULT,249,352,Sunset,June,2016,2005
ADULT,64,40,Excelsior,November,2015,2003
SENIOR,205,71,Eureka Valley/Harvey Milk Memorial,June,2015,2004
YOUNG ADULT,283,10,West Portal,July,2016,2008
JUVENILE,120,2,West Portal,July,2014,2010
ADULT,41,2,Main Library,March,2015,2008
SENIOR,3,0,Main Library,November,2014,2014
ADULT,36,10,Main Library,July,2016,2005
ADULT,304,491,Chinatown,July,2016,2006
ADULT,155,7,West Portal,March,2014,2009
JUVENILE,145,53,Richmond,February,2016,2010
ADULT,4,2,West Portal,May,2014,2010
ADULT,0,0,Main Library,None,None,2016
ADULT,2,0,Main Library,October,2013,2013
ADULT,40,45,Main Library,July,2011,2003
ADULT,145,38,Western Addition,July,2013,2010
ADULT,504,62,Chinatown,June,2016,2010
ADULT,21,11,Main Library,November,2014,2014
ADULT,0,0,Main Library,None,None,2012
ADULT,3,3,Mission,July,2016,2013
ADULT,930,225,Ortega,July,2016,2011
ADULT,139,95,Ingleside,July,2016,2008
JUVENILE,38,0,Merced,March,2016,2015
ADULT,10,4,Bernal Heights,November,2006,2004
ADULT,0,0,Main Library,None,None,2013
ADULT,4,0,Bayview/Linda Brooks-Burton,March,2015,2015
ADULT,43,16,Sunset,December,2014,2011
TEACHER CARD,11,0,Mission,June,2016,2016
ADULT,28,23,Bernal Heights,August,2013,2009
YOUNG ADULT,48,0,Ingleside,May,2016,2010
ADULT,0,0,Golden Gate Valley,None,None,2016
ADULT,3,0,Main Library,December,2014,2014
ADULT,34,67,Main Library,January,2014,2012
YOUNG ADULT,2,0,Unknown,March,2013,2013
SENIOR,20,6,Golden Gate Valley,September,2015,2003
ADULT,54,12,Richmond,May,2016,2003
ADULT,0,0,Main Library,None,None,2014
ADULT,3,2,Mission,May,2013,2013
YOUNG ADULT,0,0,Main Library,December,2014,2014
ADULT,202,135,Main Library,July,2016,2007
WELCOME,1,0,Main Library,March,2016,2014
ADULT,8,7,Mission,July,2015,2003
ADULT,29,0,Main Library,August,2015,2013
ADULT,0,0,Glen Park,None,None,2016
ADULT,6,0,Main Library,December,2014,2014
SENIOR,236,3,Main Library,June,2016,2011
JUVENILE,46,0,Potrero,November,2014,2013
ADULT,1,1,Main Library,October,2012,2012
SENIOR,0,0,Chinatown,None,None,2013
SENIOR,40,0,Bayview/Linda Brooks-Burton,July,2015,2007
ADULT,315,82,Eureka Valley/Harvey Milk Memorial,June,2016,2005
ADULT,83,3,Main Library,April,2016,2005
SENIOR,1,0,Presidio,December,2013,2013
ADULT,5,0,Mission,July,2016,2013
JUVENILE,4,0,Anza,December,2015,2012
ADULT,124,51,Noe Valley/Sally Brunn,November,2013,2003
ADULT,76,69,Park,March,2013,2003
ADULT,0,0,Main Library,None,None,2014
WELCOME,1,0,Main Library,October,2015,2015
JUVENILE,15,0,Mission,August,2014,2014
ADULT,55,22,Bayview/Linda Brooks-Burton,May,2016,2007
ADULT,20,12,Marina,April,2014,2009
WELCOME,1,0,Main Library,October,2014,2014
JUVENILE,548,18,Visitacion Valley,July,2016,2008
ADULT,19,0,Main Library,October,2015,2003
ADULT,0,0,Main Library,None,None,2014
ADULT,30,0,Park,October,2014,2011
JUVENILE,274,358,Marina,May,2016,2015
ADULT,64,46,Ocean View,July,2016,2009
ADULT,1,1,Merced,December,2014,2014
JUVENILE,0,0,Mission,None,None,2014
WELCOME,1,4,Main Library,June,2016,2016
JUVENILE,75,2,Noe Valley/Sally Brunn,January,2016,2010
SENIOR,126,132,North Beach,August,2015,2003
ADULT,1500,130,Ortega,November,2015,2003
ADULT,0,0,Main Library,None,None,2013
JUVENILE,0,0,Excelsior,None,None,2014
ADULT,1,2,Glen Park,January,2015,2014
ADULT,5,0,Main Library,February,2016,2012
YOUNG ADULT,80,7,Richmond,May,2016,2013
JUVENILE,10,5,Marina,July,2016,2016
ADULT,0,0,Potrero,January,2014,2014
WELCOME,1,0,Main Library,September,2015,2015
SENIOR,538,0,Main Library,October,2014,2010
ADULT,1802,72,Anza,May,2016,2003
YOUNG ADULT,929,84,Sunset,March,2016,2004
ADULT,26,2,Excelsior,July,2016,2009
ADULT,0,0,Western Addition,None,None,2013
ADULT,92,0,Potrero,June,2015,2015
ADULT,108,92,Ortega,August,2014,2008
JUVENILE,526,12,Bernal Heights,November,2015,2009
JUVENILE,85,1,Mission,July,2016,2015
ADULT,438,250,Ortega,June,2014,2009
ADULT,154,16,Mission Bay,April,2014,2006
ADULT,57,59,Excelsior,June,2016,2005
JUVENILE,6,0,Bernal Heights,July,2016,2016
YOUNG ADULT,349,65,Chinatown,November,2014,2005
ADULT,0,0,Western Addition,None,None,2013
DIGITAL ACCESS CARD,0,0,Park,None,None,2016
ADULT,1452,1110,Main Library,July,2016,2004
ADULT,661,184,Glen Park,May,2016,2003
ADULT,0,0,Ortega,None,None,2016
JUVENILE,52,5,Parkside,July,2014,2011
YOUNG ADULT,90,6,Parkside,April,2016,2006
YOUNG ADULT,31,0,Mission,October,2013,2007
ADULT,0,0,Main Library,None,None,2013
JUVENILE,12,0,Parkside,March,2015,2011
ADULT,3,0,Mission Bay,April,2009,2009
ADULT,13,0,Richmond,July,2016,2010
JUVENILE,5,0,Visitacion Valley,April,2013,2013
ADULT,107,12,Eureka Valley/Harvey Milk Memorial,July,2016,2003
ADULT,20,1,Main Library,October,2012,2009
ADULT,2,2,Main Library,September,2013,2008
WELCOME,0,0,Eureka Valley/Harvey Milk Memorial,None,None,2015
JUVENILE,1012,185,Visitacion Valley,July,2016,2008
ADULT,32,12,Bernal Heights,September,2009,2003
ADULT,22,33,Mission,July,2016,2012
ADULT,9,0,Sunset,October,2012,2010
JUVENILE,16,1,Bayview/Linda Brooks-Burton,January,2016,2015
JUVENILE,681,158,Merced,December,2013,2012
ADULT,11,7,Main Library,June,2016,2012
YOUNG ADULT,62,2,Excelsior,December,2015,2012
SENIOR,0,0,Main Library,None,None,2013
ADULT,1,0,Park,August,2013,2013
ADULT,46,2,Mission,August,2013,2003
SENIOR,28,10,Main Library,September,2015,2003
ADULT,51,48,Main Library,November,2011,2003
ADULT,32,36,Eureka Valley/Harvey Milk Memorial,January,2014,2008
JUVENILE,888,401,Mission,July,2016,2005
ADULT,9,0,Mission,November,2015,2009
ADULT,4,1,Portola,December,2015,2011
ADULT,10,9,Eureka Valley/Harvey Milk Memorial,May,2013,2003
ADULT,1,1,Golden Gate Valley,May,2015,2011
ADULT,88,6,Ortega,November,2012,2012
SENIOR,1646,329,Main Library,July,2016,2003
ADULT,8,0,Eureka Valley/Harvey Milk Memorial,May,2013,2013
ADULT,0,0,Portola,None,None,2016
ADULT,770,353,Main Library,July,2016,2003
ADULT,15,0,Ortega,January,2016,2014
ADULT,214,77,Mission,July,2016,2009
ADULT,264,26,North Beach,June,2016,2003
JUVENILE,41,0,Main Library,October,2015,2015
ADULT,4,0,Main Library,July,2016,2008
STAFF,531,528,Main Library,July,2016,2003
JUVENILE,22,0,Visitacion Valley,December,2015,2011
SENIOR,91,14,Main Library,July,2016,2010
ADULT,291,347,Parkside,July,2016,2013
SENIOR,0,0,Noe Valley/Sally Brunn,None,None,2014
JUVENILE,263,27,Potrero,July,2016,2015
JUVENILE,145,24,Unknown,April,2016,2012
ADULT,1,0,Main Library,July,2012,2012
ADULT,6,2,Potrero,December,2012,2012
ADULT,47,0,Ortega,November,2013,2003
ADULT,0,0,Marina,None,None,2015
SENIOR,1365,0,Main Library,September,2015,2013
ADULT,543,260,Western Addition,February,2015,2003
SENIOR,2,2,Ocean View,October,2014,2014
SENIOR,193,62,Park,June,2016,2003
ADULT,14,19,Western Addition,April,2014,2008
ADULT,50,75,Main Library,July,2016,2012
SENIOR,7,0,Excelsior,May,2016,2010
ADULT,7,2,Glen Park,July,2016,2015
ADULT,12,17,Main Library,June,2016,2006
JUVENILE,0,0,Main Library,None,None,2015
ADULT,18,3,Main Library,February,2015,2003
ADULT,8,2,Glen Park,June,2015,2011
ADULT,6,0,Western Addition,March,2015,2011
JUVENILE,68,74,Noe Valley/Sally Brunn,July,2016,2015
ADULT,53,33,Glen Park,March,2016,2003
ADULT,265,120,Main Library,March,2016,2015
ADULT,52,0,Sunset,July,2016,2007
YOUNG ADULT,0,0,Main Library,None,None,2015
ADULT,121,88,Ortega,July,2016,2003
ADULT,789,548,Excelsior,May,2016,2008
ADULT,48,0,Main Library,July,2015,2015
ADULT,328,183,Potrero,February,2015,2014
ADULT,99,15,West Portal,April,2016,2003
JUVENILE,15,0,West Portal,May,2016,2007
SENIOR,890,2,Ortega,May,2014,2003
JUVENILE,6,1,Glen Park,July,2016,2015
JUVENILE,1,0,Main Library,July,2015,2015
ADULT,3,11,Portola,March,2014,2013
ADULT,0,0,Main Library,None,None,2015
ADULT,4,4,Mission Bay,May,2014,2011
ADULT,55,88,West Portal,September,2015,2010
YOUNG ADULT,249,58,Main Library,September,2014,2008
ADULT,1,0,Main Library,March,2015,2011
ADULT,21,13,West Portal,January,2014,2003
ADULT,5,8,Main Library,June,2011,2011
ADULT,2,0,Mission,February,2016,2012
ADULT,64,33,Potrero,February,2016,2003
ADULT,14,0,Mission,January,2015,2014
JUVENILE,0,0,Main Library,None,None,2016
ADULT,91,134,Anza,August,2014,2006
ADULT,1220,1658,Main Library,July,2016,2008
JUVENILE,740,140,Glen Park,June,2016,2011
ADULT,2,1,Main Library,February,2015,2009
ADULT,17,8,Presidio,May,2008,2004
ADULT,233,87,Main Library,January,2015,2003
ADULT,0,0,Bayview/Linda Brooks-Burton,August,2015,2013
ADULT,91,69,Ortega,July,2016,2003
ADULT,8,4,Main Library,November,2014,2011
JUVENILE,1511,143,Unknown,June,2016,2006
JUVENILE,70,0,Western Addition,April,2016,2013
ADULT,17,20,Main Library,July,2014,2014
SENIOR,0,0,Ingleside,None,None,2013
ADULT,0,0,Main Library,None,None,2016
ADULT,117,0,Mission,April,2016,2015
ADULT,10,3,Richmond,March,2016,2012
SENIOR,159,23,Eureka Valley/Harvey Milk Memorial,July,2016,2011
ADULT,9,0,Excelsior,March,2014,2008
JUVENILE,4,1,Visitacion Valley,July,2016,2012
JUVENILE,3,0,Richmond,May,2014,2014
JUVENILE,0,0,Eureka Valley/Harvey Milk Memorial,None,None,2013
ADULT,400,552,Excelsior,July,2016,2009
ADULT,0,0,Chinatown,None,None,2016
ADULT,0,0,Main Library,None,None,2012
ADULT,0,0,Main Library,None,None,2014
ADULT,7,0,Excelsior,May,2016,2013
ADULT,0,0,Portola,None,None,2016
ADULT,0,0,Main Library,None,None,2014
JUVENILE,17,0,Bayview/Linda Brooks-Burton,January,2014,2013
YOUNG ADULT,1495,1758,Marina,July,2016,2006
ADULT,87,39,West Portal,December,2015,2003
JUVENILE,411,7,Richmond,April,2016,2011
ADULT,1046,459,Anza,July,2016,2003
ADULT,10,5,Mission,December,2014,2014
JUVENILE,2,0,Chinatown,March,2016,2012
ADULT,28,0,Ortega,July,2016,2015
ADULT,13,0,Marina,June,2013,2009
JUVENILE,18,0,North Beach,June,2016,2015
ADULT,8,0,Main Library,June,2013,2013
SENIOR,184,15,Bernal Heights,June,2016,2003
JUVENILE,177,1,Mission,May,2016,2015
YOUNG ADULT,134,7,Chinatown,July,2015,2013
ADULT,125,50,Main Library,August,2013,2003
ADULT,46,50,Richmond,June,2016,2013
SENIOR,863,283,Eureka Valley/Harvey Milk Memorial,July,2016,2003
ADULT,1,4,Noe Valley/Sally Brunn,December,2014,2010
ADULT,197,249,Chinatown,July,2016,2012
ADULT,7,0,Main Library,July,2016,2014
ADULT,0,0,Chinatown,None,None,2014
JUVENILE,306,15,Merced,July,2016,2007
ADULT,6,5,Richmond,October,2014,2014
ADULT,19,2,Merced,October,2015,2011
JUVENILE,0,0,Main Library,None,None,2014
ADULT,592,252,Main Library,January,2015,2008
ADULT,3,2,Main Library,July,2016,2015
YOUNG ADULT,10,0,Excelsior,February,2016,2015
SENIOR,9,2,Ingleside,October,2015,2012
ADULT,75,10,Ocean View,September,2013,2003
ADULT,0,0,Main Library,None,None,2016
YOUNG ADULT,2077,3149,Sunset,July,2016,2004
YOUNG ADULT,13,0,Glen Park,February,2016,2008
JUVENILE,0,0,Parkside,None,None,2016
TEACHER CARD,45,35,Park,July,2015,2014
ADULT,0,0,Parkside,None,None,2015
JUVENILE,236,13,Park,July,2016,2015
ADULT,17,10,Main Library,December,2013,2011
SPECIAL,0,0,Children's Bookmobile,None,None,2013
ADULT,566,34,Sunset,July,2016,2003
ADULT,0,0,Main Library,None,None,2015
ADULT,58,73,Main Library,March,2014,2003
SENIOR,671,46,Glen Park,August,2015,2003
ADULT,51,132,Marina,July,2016,2011
ADULT,0,0,North Beach,None,None,2016
JUVENILE,75,4,Visitacion Valley,October,2015,2011
ADULT,7,0,Main Library,July,2016,2016
ADULT,71,99,Richmond,June,2016,2003
ADULT,9,6,Noe Valley/Sally Brunn,March,2015,2014
ADULT,3,3,Main Library,February,2016,2016
ADULT,0,0,Ingleside,None,None,2015
ADULT,7,10,Mission Bay,February,2016,2008
ADULT,1645,619,Richmond,July,2016,2003
ADULT,893,13,West Portal,July,2016,2003
ADULT,7,0,Sunset,February,2016,2015
ADULT,0,0,Eureka Valley/Harvey Milk Memorial,August,2014,2014
YOUNG ADULT,0,0,Main Library,None,None,2013
ADULT,14,0,Marina,January,2015,2010
ADULT,14,19,Excelsior,January,2016,2015
ADULT,2,5,West Portal,May,2016,2009
ADULT,8,0,Mission,September,2014,2013
YOUNG ADULT,0,0,Main Library,None,None,2015
ADULT,295,104,Anza,July,2016,2003
ADULT,22,0,Ortega,March,2016,2008
YOUNG ADULT,374,274,West Portal,May,2016,2010
ADULT,97,19,Excelsior,December,2014,2003
ADULT,0,0,Main Library,None,None,2015
WELCOME,0,0,Main Library,None,None,2016
ADULT,37,5,Bernal Heights,February,2015,2013
ADULT,0,0,Main Library,None,None,2016
ADULT,129,53,Visitacion Valley,May,2015,2003
ADULT,52,0,Potrero,January,2016,2012
ADULT,14,2,Bernal Heights,February,2015,2010
ADULT,1,0,Bernal Heights,July,2016,2015
JUVENILE,332,8,Presidio,July,2016,2012
ADULT,5,2,Main Library,April,2016,2015
ADULT,851,496,Eureka Valley/Harvey Milk Memorial,July,2016,2003
ADULT,3,0,Mission,July,2016,2011
JUVENILE,62,18,Main Library,June,2016,2012
ADULT,0,0,Main Library,None,None,2013
ADULT,2,0,Richmond,December,2012,2009
ADULT,5,0,Sunset,July,2016,2015
ADULT,0,0,Main Library,None,None,2016
ADULT,180,25,Park,August,2015,2010
SENIOR,0,0,Anza,None,None,2014
SENIOR,162,1,Glen Park,July,2016,2007
ADULT,682,543,Eureka Valley/Harvey Milk Memorial,July,2016,2004
ADULT,8,19,Marina,July,2016,2015
SENIOR,29,5,Ortega,September,2014,2014
ADULT,2,6,Mission Bay,August,2014,2014
SENIOR,553,83,Richmond,March,2016,2003
ADULT,11,3,Ocean View,June,2016,2015
ADULT,37,1,Bernal Heights,November,2012,2012
YOUNG ADULT,65,0,West Portal,July,2016,2008
ADULT,5,12,Main Library,September,2014,2010
YOUNG ADULT,1018,4,Main Library,June,2016,2011
JUVENILE,10,0,Main Library,November,2013,2010
SENIOR,14,0,Anza,July,2016,2015
ADULT,1,0,West Portal,August,2013,2013
ADULT,68,21,Sunset,May,2016,2003
ADULT,65,3,Main Library,December,2014,2003
JUVENILE,1749,1358,Ortega,July,2016,2012
ADULT,1,0,Main Library,October,2013,2013
ADULT,6,8,Sunset,August,2015,2015
ADULT,0,0,Excelsior,None,None,2013
ADULT,0,0,Main Library,January,2013,2013
SENIOR,7,1,Main Library,July,2015,2012
ADULT,0,0,Main Library,None,None,2015
ADULT,3,0,Glen Park,October,2014,2011
ADULT,13,11,Main Library,June,2015,2012
JUVENILE,31,0,Sunset,June,2016,2015
ADULT,2,1,Main Library,October,2015,2012
ADULT,33,10,Richmond,July,2015,2014
ADULT,22,0,Main Library,September,2014,2010
YOUNG ADULT,157,4,West Portal,April,2014,2008
ADULT,19,8,North Beach,November,2011,2006
JUVENILE,13,0,Main Library,August,2014,2011
ADULT,162,52,Main Library,March,2016,2008
ADULT,811,339,Glen Park,July,2016,2006
ADULT,43,58,Main Library,March,2016,2014
JUVENILE,185,0,Main Library,January,2015,2013
JUVENILE,336,0,Sunset,June,2016,2011
SENIOR,612,72,Chinatown,July,2016,2003
SENIOR,3,0,Ortega,June,2014,2011
ADULT,0,0,Main Library,None,None,2015
STAFF,1077,722,Sunset,July,2016,2003
ADULT,0,0,Main Library,None,None,2015
ADULT,57,99,Golden Gate Valley,June,2016,2015
ADULT,1,0,Main Library,December,2015,2014
ADULT,55,4,Bernal Heights,December,2015,2014
YOUNG ADULT,12,2,Main Library,March,2016,2011
JUVENILE,1802,536,Richmond,July,2016,2007
JUVENILE,862,111,Presidio,May,2016,2011
SENIOR,1301,286,Main Library,August,2015,2003
ADULT,1,0,Mission Bay,October,2013,2013
ADULT,147,8,Glen Park,April,2014,2003
ADULT,2092,1087,Chinatown,April,2014,2003
JUVENILE,9,13,Children's Bookmobile,June,2014,2007
ADULT,1,1,Merced,August,2014,2014
ADULT,3,0,Unknown,June,2015,2015
ADULT,37,5,Glen Park,July,2015,2013
JUVENILE,42,0,Bernal Heights,June,2016,2015
SENIOR,0,0,Mission Bay,None,None,2015
ADULT,898,106,Main Library,July,2016,2003
ADULT,24,10,Main Library,December,2011,2003
ADULT,1,0,Main Library,October,2009,2005
ADULT,12,5,Main Library,April,2013,2005
ADULT,1,0,Anza,September,2014,2014
ADULT,1,0,Main Library,October,2004,2003
ADULT,34,74,Main Library,July,2016,2013
SENIOR,0,0,Main Library,July,2015,2011
SENIOR,0,0,Main Library,None,None,2014
ADULT,0,0,Main Library,July,2013,2013
ADULT,122,0,Parkside,July,2016,2016
JUVENILE,157,5,Main Library,July,2016,2013
ADULT,517,471,West Portal,September,2013,2003
ADULT,196,3,Visitacion Valley,August,2013,2011
JUVENILE,533,269,Merced,July,2016,2007
SENIOR,88,49,Glen Park,May,2016,2003
ADULT,64,4,Main Library,July,2016,2009
ADULT,0,0,Presidio,None,None,2015
ADULT,6,0,Visitacion Valley,February,2015,2011
ADULT,31,7,Sunset,January,2016,2011
ADULT,17,33,Main Library,June,2014,2013
ADULT,1,0,Main Library,October,2009,2009
ADULT,69,25,Main Library,June,2016,2007
WELCOME,1,0,Main Library,May,2015,2013
ADULT,338,337,Ingleside,July,2016,2003
ADULT,9,1,Bayview/Linda Brooks-Burton,July,2016,2011
YOUNG ADULT,0,0,Children's Bookmobile,None,None,2008
SENIOR,21,15,Main Library,February,2015,2007
YOUNG ADULT,438,27,Anza,January,2016,2008
ADULT,10,10,Main Library,June,2014,2003
SENIOR,603,97,Unknown,July,2016,2009
JUVENILE,119,0,Chinatown,July,2016,2012
TEACHER CARD,4,0,Ortega,June,2015,2014
ADULT,0,0,Merced,None,None,2015
ADULT,42,9,Excelsior,November,2015,2005
JUVENILE,22,0,Bernal Heights,April,2016,2014
ADULT,995,556,Richmond,July,2016,2003
JUVENILE,69,0,Parkside,May,2014,2007
ADULT,329,29,Marina,January,2014,2003
ADULT,78,25,Glen Park,June,2013,2007
SENIOR,0,0,Main Library,None,None,2014
ADULT,55,15,Excelsior,July,2016,2011
ADULT,0,0,Mission Bay,None,None,2012
ADULT,12,28,Main Library,December,2013,2012
ADULT,0,0,Golden Gate Valley,None,None,2011
ADULT,6090,2,Main Library,December,2014,2003
WELCOME,0,0,Main Library,None,None,2015
ADULT,0,0,Merced,None,None,2012
SENIOR,49,33,Park,March,2016,2003
WELCOME,0,0,Main Library,None,None,2016
JUVENILE,188,135,Noe Valley/Sally Brunn,June,2015,2013
TEACHER CARD,87,9,Chinatown,July,2016,2014
ADULT,416,340,Marina,July,2016,2008
ADULT,10,0,Potrero,March,2014,2010
ADULT,1147,60,Mission,September,2015,2003
ADULT,1,0,Main Library,November,2009,2009
JUVENILE,29,11,Sunset,May,2016,2012
ADULT,159,131,Sunset,August,2015,2007
ADULT,0,0,Visitacion Valley,None,None,2015
ADULT,2402,125,Main Library,July,2016,2003
SENIOR,8,2,Glen Park,September,2012,2012
ADULT,3382,239,North Beach,July,2016,2004
DIGITAL ACCESS CARD,0,0,Main Library,None,None,2015
ADULT,17,8,Main Library,April,2014,2012
YOUNG ADULT,147,54,Parkside,November,2014,2010
ADULT,0,0,Potrero,None,None,2016
ADULT,237,166,Main Library,June,2016,2003
ADULT,189,291,Anza,March,2013,2003
ADULT,8,0,Portola,July,2015,2013
ADULT,447,102,Chinatown,July,2016,2005
JUVENILE,1,0,Mission Bay,March,2016,2016
YOUNG ADULT,167,46,Mission,November,2013,2009
TEACHER CARD,1064,552,Eureka Valley/Harvey Milk Memorial,July,2016,2014
ADULT,654,191,Western Addition,December,2014,2003
JUVENILE,89,0,Portola,July,2016,2012
ADULT,0,0,Main Library,None,None,2013
ADULT,1,0,Park,November,2014,2014
ADULT,85,19,Mission,August,2013,2011
ADULT,13,0,Main Library,June,2014,2010
ADULT,0,0,Ortega,None,None,2015
ADULT,0,0,Main Library,None,None,2013
ADULT,4,2,Excelsior,March,2014,2013
WELCOME,0,0,Mission Bay,None,None,2014
ADULT,42,0,Main Library,May,2013,2013
SENIOR,16,2,Presidio,February,2016,2003
WELCOME,0,0,Excelsior,None,None,2015
JUVENILE,9,0,Sunset,November,2014,2014
ADULT,41,10,Chinatown,July,2013,2003
SENIOR,4,1,Chinatown,November,2015,2006
JUVENILE,22,2,Sunset,December,2015,2012
ADULT,418,464,Park,December,2014,2003
ADULT,5,0,Park,April,2013,2013
ADULT,440,5,Portola,July,2016,2008
ADULT,3,0,Excelsior,April,2016,2015
JUVENILE,24,0,Glen Park,September,2015,2014
ADULT,52,61,Main Library,July,2016,2015
ADULT,3,0,Chinatown,March,2013,2013
ADULT,8,0,Richmond,December,2015,2011
ADULT,117,43,Main Library,July,2016,2011
SENIOR,4,0,West Portal,December,2013,2010
ADULT,7,0,Main Library,December,2014,2008
ADULT,0,0,Main Library,November,2014,2011
ADULT,24,19,Park,February,2016,2014
JUVENILE,0,0,Main Library,None,None,2013
ADULT,2,0,Main Library,December,2014,2014
ADULT,2,1,Main Library,February,2015,2015
ADULT,16,0,Chinatown,January,2014,2006
ADULT,1410,329,Main Library,May,2016,2003
ADULT,0,0,Park,March,2015,2013
ADULT,0,0,West Portal,None,None,2015
JUVENILE,21,0,Mission,May,2016,2016
ADULT,1,0,Excelsior,May,2016,2016
ADULT,3,2,Excelsior,June,2009,2005
ADULT,96,47,Mission,September,2013,2007
SENIOR,0,0,Merced,None,None,2015
ADULT,0,0,Main Library,None,None,2014
ADULT,11,0,North Beach,June,2016,2016
WELCOME,0,0,Main Library,None,None,2014
ADULT,2,0,Mission Bay,October,2008,2008
YOUNG ADULT,659,117,Glen Park,September,2015,2005
ADULT,100,37,Marina,October,2014,2008
ADULT,9,0,Main Library,October,2014,2014
ADULT,36,44,Portola,February,2016,2013
WELCOME,1,1,Main Library,September,2015,2015
YOUNG ADULT,416,113,Visitacion Valley,July,2016,2012
ADULT,24,0,Main Library,November,2014,2013
RETIRED STAFF,2161,1344,Sunset,July,2016,2003
YOUNG ADULT,4,0,Mission,November,2014,2011
ADULT,41,25,Visitacion Valley,September,2013,2003
SENIOR,73,152,Main Library,May,2016,2003
ADULT,14,0,Main Library,July,2014,2013
STAFF,662,296,Mission Bay,July,2016,2003
SENIOR,58,10,Chinatown,October,2015,2011
SENIOR,1145,1049,Eureka Valley/Harvey Milk Memorial,July,2016,2003
JUVENILE,112,3,Visitacion Valley,July,2016,2011
ADULT,0,0,Excelsior,None,None,2016
SENIOR,180,36,Main Library,February,2015,2003
ADULT,0,0,Main Library,None,None,2013
ADULT,57,11,Main Library,February,2016,2009
ADULT,0,0,Bayview/Linda Brooks-Burton,None,None,2015
ADULT,2,0,Excelsior,July,2015,2012
ADULT,206,0,Glen Park,March,2016,2007
YOUNG ADULT,16,0,Bayview/Linda Brooks-Burton,June,2016,2016
